CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.38       0.00       0.00
depend-int             0.00       0.02       0.00       0.00
depend-fp              0.00       0.28       0.00       0.00
depend-branch          0.00       0.01       0.00       0.00
issue-port2            0.00       0.06       0.00       0.00
branch                 0.00       0.06       0.00       0.00
mem-l3                 0.00       0.24       0.00       0.00
sync-futex           108.20       0.00       0.00       0.00
imbalance-end          0.00       0.00   1269828884.84   1269828884.84
other                  0.73       0.02    8000.00    8000.00

total                108.93       1.07   1269836884.84   1269836884.84
