CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.37       0.00       0.00
depend-int             0.00       0.05       0.00       0.00
depend-fp              0.00       0.18       0.00       0.00
depend-branch          0.00       0.01       0.00       0.00
issue-port2            0.00       0.02       0.00       0.00
issue-port015          0.00       0.01       0.00       0.00
branch                 0.00       0.10       0.00       0.00
mem-l1d                0.00       0.07       0.00       0.00
sync-futex           315.90       0.00       0.00       0.00
imbalance-end          0.00       0.00   749098076.24   749098076.24
other                  1.41       0.01    8000.00    8000.00

total                317.31       0.82   749106076.24   749106076.24
