CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.57       0.79       0.79       0.00
depend-int             0.06       0.07       0.07       0.00
depend-fp              0.00       0.33       0.33       0.00
depend-branch          0.06       0.00       0.00       0.00
branch                 0.48       0.17       0.17       0.00
mem-l1d                0.11       0.04       0.04       0.00
sync-futex             3.95       0.00       0.00       0.00
sync-unscheduled        0.00       0.39       0.39       0.00
imbalance-end          0.00       0.11       0.12   265038500.70
other                  0.08       0.04       0.04    8000.00

total                  5.32       1.95       1.95   265046500.70
