CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.30       0.44       0.00       0.00
depend-int             0.00       0.14       0.00       0.00
depend-fp              0.00       0.16       0.00       0.00
depend-branch          0.00       0.09       0.00       0.00
issue                  0.00       0.02       0.00       0.00
branch                 0.00       0.51       0.00       0.00
mem-l1d                0.00       0.15       0.00       0.00
sync-futex            12.05       0.00       0.00       0.00
sync-unscheduled        0.00       0.04       0.00       0.00
imbalance-end          0.00       0.02   2017046420.05   2017046420.05
other                  0.17       0.01    8000.00    8000.00

total                 12.52       1.58   2017054420.05   2017054420.05
