CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.30       0.34       0.34       0.00
depend-int             0.00       0.08       0.07       0.00
depend-branch          0.00       0.02       0.02       0.00
issue-port2            0.00       0.03       0.04       0.00
issue-port015          0.00       0.03       0.03       0.00
branch                 0.00       0.16       0.12       0.00
ifetch                 0.17       0.10       0.12       0.00
mem-l1d                0.00       0.10       0.09       0.00
mem-l3                 0.00       0.02       0.02       0.00
mem-dram               0.11       0.02       0.00       0.00
sync-futex             9.24       0.00       0.41       0.00
sync-unscheduled        0.00       0.04       0.05       0.00
imbalance-end          0.00       0.11       0.00   367489385.33
other                  0.23       0.01       0.04    8000.00

total                 10.05       1.04       1.34   367497385.33
