CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.37       0.37       0.00
depend-int             0.00       0.05       0.05       0.00
depend-fp              0.00       0.18       0.18       0.00
depend-branch          0.00       0.01       0.01       0.00
issue-port2            0.00       0.02       0.02       0.00
issue-port015          0.00       0.01       0.01       0.00
branch                 0.00       0.10       0.10       0.00
mem-l1d                0.00       0.07       0.07       0.00
sync-futex           159.36       0.00       0.00       0.00
imbalance-end          0.00       0.00       0.00   379706044.30
other                  1.41       0.02       0.02    8000.00

total                160.77       0.83       0.83   379714044.30
